date;party;politician;newsshort;news;id;source
2016-11-20;CDU;Angela Merkel;;Angela Merkel announces intention to stand as a chancellor candidate;1;https://www.cdu.de/artikel/merkel-will-kandidieren
2016-11-20;FDP;Christian Lindner;;FDP elect Christian Lindner as top candidate;2;https://web.archive.org/web/20161201145326/https://www.swp.de/bietigheim/nachrichten/politik/fdp-setzt-fuer-wahljahr-2017-auf-christian-lindner-14022968.html
2016-12-04;Die Linke;Sahra Wagenknecht;;Sahra Wagenknecht and Dietmar Bartsch elected as top candidates;3;http://www.spiegel.de/politik/deutschland/die-linke-sahra-wagenknecht-und-dietmar-bartsch-spitzenkandidaten-fuer-wahl-a-1124358.html
2016-12-04;Die Linke;Dietmar Bartsch;;Sahra Wagenknecht and Dietmar Bartsch elected as top candidates;4;http://www.spiegel.de/politik/deutschland/die-linke-sahra-wagenknecht-und-dietmar-bartsch-spitzenkandidaten-fuer-wahl-a-1124358.html
2016-12-06;CDU;Angela Merkel;;Angela Merkel revoted as chairperson of CDU and chancellor candidate;5;http://www.faz.net/aktuell/politik/merkel-mit-89-5-prozent-zur-cdu-vorsitzenden-gewaehlt-14561865.html
2017-01-18;Die Grünen;Cem Özdemir;;Die Grünen elect Cem Özdemir, Katrin Göring-Eckardt, Robert Habeck and Anton Hofreiter as representatives;6;https://www.gruene.de/ueber-uns/2017/katrin-goering-eckardt-und-cem-oezdemir-gewinnen-die-urwahl.html
2017-01-18;Die Grünen;Katrin Göring-Eckardt;;Die Grünen elect Cem Özdemir, Katrin Göring-Eckardt, Robert Habeck and Anton Hofreiter as representatives;7;https://www.gruene.de/ueber-uns/2017/katrin-goering-eckardt-und-cem-oezdemir-gewinnen-die-urwahl.html
2017-01-18;Die Grünen;Robert Habeck;;Die Grünen elect Cem Özdemir, Katrin Göring-Eckardt, Robert Habeck and Anton Hofreiter as representatives;8;https://www.gruene.de/ueber-uns/2017/katrin-goering-eckardt-und-cem-oezdemir-gewinnen-die-urwahl.html
2017-01-18;Die Grünen;Anton Hofreiter;;Die Grünen elect Cem Özdemir, Katrin Göring-Eckardt, Robert Habeck and Anton Hofreiter as representatives;9;https://www.gruene.de/ueber-uns/2017/katrin-goering-eckardt-und-cem-oezdemir-gewinnen-die-urwahl.html
2017-01-24;SPD;Sigmar Gabriel;;Sigmar Gabriel renounces candidature;10;https://www.stern.de/politik/deutschland/sigmar-gabriel-zu-seinem-ruecktritt---es-gibt-auch-private-gruende--7295686.html
2017-01-24;SPD;Sigmar Gabriel;;Sigmar Gabriel proposes Martin Schulz as chancellor candidate;11;http://www.faz.net/aktuell/politik/inland/sigmar-gabriel-tritt-nicht-als-spd-kanzlerkandidat-an-14744704-p2.html?printPagedArticle=true#pageIndex_2
2017-01-24;SPD;Martin Schulz;;Sigmar Gabriel proposes Martin Schulz as chancellor candidate;12;http://www.faz.net/aktuell/politik/inland/sigmar-gabriel-tritt-nicht-als-spd-kanzlerkandidat-an-14744704-p2.html?printPagedArticle=true#pageIndex_2
2017-01-25;CDU;Jens Spahn;;CDU (Jens Spahn) announces no intention to form a coalition with SPD;13;http://www.spiegel.de/politik/deutschland/martin-schulz-reaktionen-von-spd-cdu-gruenen-und-linken-a-1131630.html
2017-01-25;CDU;Angela Merkel;;Angela Merkel and Martin Schulz reach same direct vote in survey;14;https://www.tagesschau.de/inland/deutschlandtrend-705.html
2017-01-25;SPD;Martin Schulz;overtakes Merkel in direct vote;Angela Merkel and Martin Schulz reach same direct vote in survey;15;https://www.tagesschau.de/inland/deutschlandtrend-705.html
2017-01-28;SPD;Thomas Oppermann;;SPD (Thomas Oppermann) announces no intention to form a coalition with CDU;16;http://www.zeit.de/politik/deutschland/2017-01/spd-fraktionschef-thomas-oppermann-bundestagswahl-grosse-koalition
2017-01-29;CSU;Horst Seehofer;;Horst Seehofer supporting candidacy of Angela Merkel;17;https://www.sueddeutsche.de/news/politik/parteien-seehofer-merkel-wird-gemeinsame-kanzlerkandidatin-der-union-dpa.urn-newsml-dpa-com-20090101-170129-99-70913
2017-01-29;CSU;Horst Seehofer;;Horst Seehofer supporting candidacy of Angela Merkel;18;https://www.sueddeutsche.de/news/politik/parteien-seehofer-merkel-wird-gemeinsame-kanzlerkandidatin-der-union-dpa.urn-newsml-dpa-com-20090101-170129-99-70913
2017-02-06;SPD;SPD;;Survey finds SPD surpasses CDU;19;https://www.welt.de/politik/deutschland/article161843155/SPD-ueberholt-Union-in-neuer-Umfrage.html
2017-02-06;CDU;CDU;;Survey finds SPD surpasses CDU;20;https://www.welt.de/politik/deutschland/article161843155/SPD-ueberholt-Union-in-neuer-Umfrage.html
2017-03-19;SPD;Martin Schulz;voted chancellor candidate;Martin Schulz elected as chancellor candidate;21;http://www.spiegel.de/politik/deutschland/martin-schulz-mit-100-prozent-zum-parteichef-der-spd-gewaehlt-a-1139478.html
2017-03-19;SPD;Frank-Walter Steinmeier;;Frank-Walter Steinmeier gets elected president of Germany;22;http://www.bundespraesident.de/SharedDocs/Berichte/DE/Joachim-Gauck/2017/02/170212-Wahl-zum-Bundespraesidenten.html
2017-03-26;CDU;CDU;election Saarland;federal state elections in Saarland;23;https://wahl.tagesschau.de/wahlen/2017-03-26-LT-DE-SL/index.shtml
2017-03-26;CSU;CSU;election Saarland;federal state elections in Saarland;24;https://wahl.tagesschau.de/wahlen/2017-03-26-LT-DE-SL/index.shtml
2017-03-26;SPD;SPD;election Saarland;federal state elections in Saarland;25;https://wahl.tagesschau.de/wahlen/2017-03-26-LT-DE-SL/index.shtml
2017-03-26;Die Linke;Die Linke;election Saarland;federal state elections in Saarland;26;https://wahl.tagesschau.de/wahlen/2017-03-26-LT-DE-SL/index.shtml
2017-03-26;Die Grünen;Die Grünen;election Saarland;federal state elections in Saarland;27;https://wahl.tagesschau.de/wahlen/2017-03-26-LT-DE-SL/index.shtml
2017-03-26;AfD;AfD;election Saarland;federal state elections in Saarland;28;https://wahl.tagesschau.de/wahlen/2017-03-26-LT-DE-SL/index.shtml
2017-03-26;FDP;FDP;election Saarland;federal state elections in Saarland;29;https://wahl.tagesschau.de/wahlen/2017-03-26-LT-DE-SL/index.shtml
2017-04-23;AfD;Alice Weidel;;AfD elects Alice Weidel and Alexander Gauland as top candidates;30;www.faz.net/1.4983992
2017-04-23;AfD;Alexander Gauland;;AfD elects Alice Weidel and Alexander Gauland as top candidates;31;www.faz.net/1.4983992
2017-04-23;AfD;AfD;;AfD vote for election program;32;https://www.afd.de/wp-content/uploads/sites/111/2017/08/AfD_kurzprogramm_a4-quer_210717.pdf
2017-04-30;FDP;FDP;;FDP vote for election program;33;https://www.fdp.de/position/68-ord-bundesparteitag
2017-05-07;CDU;CDU;election Schleswig-Holstein;federal state elections in Schleswig-Holstein;34;https://wahl.tagesschau.de/wahlen/2017-05-07-LT-DE-SH/index.shtml
2017-05-07;CSU;CSU;election Schleswig-Holstein;federal state elections in Schleswig-Holstein;35;https://wahl.tagesschau.de/wahlen/2017-05-07-LT-DE-SH/index.shtml
2017-05-07;SPD;SPD;election Schleswig-Holstein;federal state elections in Schleswig-Holstein;36;https://wahl.tagesschau.de/wahlen/2017-05-07-LT-DE-SH/index.shtml
2017-05-07;Die Linke;Die Linke;election Schleswig-Holstein;federal state elections in Schleswig-Holstein;37;https://wahl.tagesschau.de/wahlen/2017-05-07-LT-DE-SH/index.shtml
2017-05-07;Die Grünen;Die Grünen;election Schleswig-Holstein;federal state elections in Schleswig-Holstein;38;https://wahl.tagesschau.de/wahlen/2017-05-07-LT-DE-SH/index.shtml
2017-05-07;AfD;AfD;election Schleswig-Holstein;federal state elections in Schleswig-Holstein;39;https://wahl.tagesschau.de/wahlen/2017-05-07-LT-DE-SH/index.shtml
2017-05-07;FDP;FDP;election Schleswig-Holstein;federal state elections in Schleswig-Holstein;40;https://wahl.tagesschau.de/wahlen/2017-05-07-LT-DE-SH/index.shtml
2017-05-14;CDU;CDU;election NRW;federal state elections in Nordrhein-Westfalen;41;https://wahl.tagesschau.de/wahlen/2017-05-14-LT-DE-NW/index.shtml
2017-05-14;CSU;CSU;election NRW;federal state elections in Nordrhein-Westfalen;42;https://wahl.tagesschau.de/wahlen/2017-05-14-LT-DE-NW/index.shtml
2017-05-14;SPD;SPD;election NRW;federal state elections in Nordrhein-Westfalen;43;https://wahl.tagesschau.de/wahlen/2017-05-14-LT-DE-NW/index.shtml
2017-05-14;Die Linke;Die Linke;election NRW;federal state elections in Nordrhein-Westfalen;44;https://wahl.tagesschau.de/wahlen/2017-05-14-LT-DE-NW/index.shtml
2017-05-14;Die Grünen;Die Grünen;election NRW;federal state elections in Nordrhein-Westfalen;45;https://wahl.tagesschau.de/wahlen/2017-05-14-LT-DE-NW/index.shtml
2017-05-14;AfD;AfD;election NRW;federal state elections in Nordrhein-Westfalen;46;https://wahl.tagesschau.de/wahlen/2017-05-14-LT-DE-NW/index.shtml
2017-05-14;FDP;FDP;election NRW;federal state elections in Nordrhein-Westfalen;47;https://wahl.tagesschau.de/wahlen/2017-05-14-LT-DE-NW/index.shtml
2017-06-11;Die Linke;Die Linke;;Die Linke vote for election program;48;https://www.die-linke.de/wahlen/wahlprogramm/
