Bärbel Kofler;Bärbel;Kofler;SPD;member of federal parliament 1
Bartholomäus Kalb;Bartholomäus;Kalb;CSU;member of federal parliament 1
Beate Müller-Gemmeke;Beate;Müller-Gemmeke;Die Grünen;member of federal parliament 1
Beate Walter-Rosenheimer;Beate;Walter-Rosenheimer;Die Grünen;member of federal parliament 1
Beatrix von Storch;Beatrix;von Storch;AfD;member of federal parliament 2
Benjamin Strasser;Benjamin;Strasser;FDP;member of federal parliament 2
Berengar Elsner von Gronow;Berengar;von Gronow;AfD;member of federal parliament 2
Bernd Baumann;Bernd;Baumann;AfD;member of federal parliament 2
Bernd Fabritius;Bernd;Fabritius;CSU;member of federal parliament 1
Bernd Reuther;Bernd;Reuther;FDP;member of federal parliament 2
Bernd Rützel;Bernd;Rützel;SPD;member of federal parliament 1
Bernd Siebert;Bernd;Siebert;CDU;member of federal parliament 1
Bernd Westphal;Bernd;Westphal;SPD;member of federal parliament 1
Bernhard Daldrup;Bernhard;Daldrup;SPD;member of federal parliament 1
Bernhard Kaster;Bernhard;Kaster;CDU;member of federal parliament 1
Bernhard Loos;Bernhard;Loos;CSU;member of federal parliament 2
Bernhard Schulte-Drüggelte;Bernhard;Schulte-Drüggelte;CDU;member of federal parliament 1
Bettina Bähr-Losse;Bettina;Bähr-Losse;SPD;member of federal parliament 1
Bettina Hagedorn;Bettina;Hagedorn;SPD;member of federal parliament 1
Bettina Hoffmann;Bettina;Hoffmann;Die Grünen;member of federal parliament 2
Bettina Hornhues;Bettina;Hornhues;CDU;member of federal parliament 1
Bettina Kudla;Bettina;Kudla;CDU;member of federal parliament 1
Bettina Müller;Bettina;Müller;SPD;member of federal parliament 1
Bettina Stark-Watzinger;Bettina;Stark-Watzinger;FDP;member of federal parliament 2
Bettina Wiesmann;Bettina;Wiesmann;CDU;member of federal parliament 2
Bijan Djir-Sarai;Bijan;Djir-Sarai;FDP;member of federal parliament 2
Birgit Kömpel;Birgit;Kömpel;SPD;member of federal parliament 1
Birgit Malecha-Nissen;Birgit;Malecha-Nissen;SPD;member of federal parliament 1
Birgit Malsack-Winkemann;Birgit;Malsack-Winkemann;AfD;member of federal parliament 2
Birgit Menz;Birgit;Menz;Die Linke;member of federal parliament 1
Birgit Wöllert;Birgit;Wöllert;Die Linke;member of federal parliament 1
Birke Bull-Bischoff;Birke;Bull-Bischoff;Die Linke;member of federal parliament 2
Björn Simon;Björn;Simon;CDU;member of federal parliament 2
Brigitte Freihold;Brigitte;Freihold;Die Linke;member of federal parliament 2
Brigitte Pothmer;Brigitte;Pothmer;Die Grünen;member of federal parliament 1
Britta Dassler;Britta;Dassler;FDP;member of federal parliament 2
Britta Haßelmann;Britta;Haßelmann;Die Grünen;member of federal parliament 1
Bruno Hollnagel;Bruno;Hollnagel;AfD;member of federal parliament 2
